NAME,LNG,LAT,ADDRESS,ADDRESS2,CITY,STATE,Zipcode,Hospitals_near,TYPE,STATUS,NAICS_DESC,ALT_NAME,OWNER,TTL_STAFF,BEDS,TRAUMA
SOUTHAMPTON HOSPITAL,-72.37994406399997,40.88505973500003,240 MEETING HOUSE LANE,NOT AVAILABLE,SOUTHAMPTON,NY,11968.0,2.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,125.0,PROVISIONAL LEVEL III
EASTERN LONG ISLAND HOSPITAL,-72.36112731899993,41.11036057000006,201 MANOR PL,NOT AVAILABLE,GREENPORT,NY,11901.0,3.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,90.0,NOT AVAILABLE
HUNTINGTON HOSPITAL,-73.41619953199995,40.87932924100004,270 PARK AVE,NOT AVAILABLE,HUNTINGTON,NY,11743.0,52.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,408.0,AREA
SOUTHSIDE HOSPITAL,-73.24115863799993,40.72596014800007,301 E MAIN ST,NOT AVAILABLE,BAY SHORE,NY,11706.0,24.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,321.0,II
PECONIC BAY MEDICAL CENTER,-72.67362494899999,40.93426398500004,1300 ROANOKE AVE,NOT AVAILABLE,RIVERHEAD,NY,11901.0,6.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,140.0,NOT AVAILABLE
ST CHARLES HOSPITAL AND REHABILITATION CENTER,-73.06096322299999,40.94663122600007,200 BELLE TERRE RD,NOT AVAILABLE,PORT JEFFERSON,NY,11507.0,15.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,243.0,NOT AVAILABLE
CARDINAL HILL REHABILITATION HOSPITAL,-84.54138893599996,38.046972425000014,2050 VERSAILLES ROAD,NOT AVAILABLE,LEXINGTON,KY,40504.0,15.0,REHABILITATION,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,158.0,NOT AVAILABLE
FLEMING COUNTY HOSPITAL,-83.75154530899994,38.42215104500007,55 FOUNDATION DRIVE,NOT AVAILABLE,FLEMINGSBURG,KY,41041.0,3.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,52.0,NOT AVAILABLE
BAPTIST HEALTH LEXINGTON,-84.51185771399997,38.01880519300005,1740 NICHOLASVILLE ROAD,NOT AVAILABLE,LEXINGTON,KY,40503.0,16.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,CENTRAL BAPTIST HOSPITAL,NON-PROFIT,-999.0,391.0,NOT AVAILABLE
EASTERN STATE HOSPITAL,-84.49856873999995,38.060303260000055,627 WEST FOURTH STREET,NOT AVAILABLE,LEXINGTON,KY,40508.0,15.0,PSYCHIATRIC,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,GOVERNMENT - STATE,-999.0,195.0,NOT AVAILABLE
ST. CATHERINE OF SIENA MEDICAL CENTER,-73.22299672799994,40.86850018600005,50 ROUTE,25 A,SMITHTOWN,NY,11787.0,25.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,306.0,NOT AVAILABLE
SAINT JOSEPH EAST,-84.43915499499997,37.99942009500006,150 N EAGLE CREEK DRIVE,NOT AVAILABLE,LEXINGTON,KY,40509.0,15.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,217.0,NOT AVAILABLE
SAINT JOSEPH HOSPITAL,-84.52329928999995,38.03233973200003,ONE ST JOSEPH DRIVE,NOT AVAILABLE,LEXINGTON,KY,40504.0,16.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,433.0,NOT AVAILABLE
SHRINERS HOSPITAL FOR CHILDREN,-84.47269852299998,38.022706609000075,1900 RICHMOND RD,NOT AVAILABLE,LEXINGTON,KY,40502.0,15.0,CHILDREN,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,50.0,NOT AVAILABLE
CAYUGA MEDICAL CENTER,-76.53748416099995,42.46898507200005,101 DATES DR,NOT AVAILABLE,ITHACA,NY,14850.0,2.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,212.0,NOT AVAILABLE
GOOD SAMARITAN HOSPITAL - WEST ISLIP,-73.29439461599996,40.69388012900002,1000 MONTAUK HIGHWAY,NOT AVAILABLE,WEST ISLIP,NY,10901.0,25.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,437.0,PROVISIONAL LEVEL II
GROVER M. HERMAN HOSPITAL,-75.04741550899995,41.740291931000044,8081 ROUTE 97,NOT AVAILABLE,CALLICOON,NY,12723.0,3.0,CRITICAL ACCESS,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,CATSKILL REGIONAL MEDICAL CENTER HERMANN,NON-PROFIT,-999.0,15.0,NOT AVAILABLE
HEALTHALLIANCE HOSPITAL - MARY'S AVENUE CAMPSU,-73.99968712199995,41.92149415700004,105 MARY'S AVENUE,NOT AVAILABLE,KINGSTON,NY,12401.0,5.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,150.0,NOT AVAILABLE
HEALTHALLIANCE HOSPITAL - BROADWAY CAMPUS,-73.994842067,41.92665840700005,396 BROADWAY,NOT AVAILABLE,KINGSTON,NY,12401.0,6.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,150.0,NOT AVAILABLE
ELLENVILLE REGIONAL HOSPITAL,-74.37903497499997,41.73262979200008,10 HEALTHY WAY,NOT AVAILABLE,ELLENVILLE,NY,12428.0,7.0,CRITICAL ACCESS,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,25.0,NOT AVAILABLE
GLENS FALLS HOSPITAL,-73.64631274399994,43.306629385000065,100 PARK ST,NOT AVAILABLE,GLENS FALLS,NY,12801.0,2.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,410.0,NOT AVAILABLE
WHITE PLAINS HOSPITAL CENTER,-73.76930509799999,41.02559431000002,41 E POST RD,NOT AVAILABLE,WHITE PLAINS,NY,10601.0,106.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,292.0,NOT AVAILABLE
NEWARK-WAYNE COMMUNITY HOSPITAL,-77.10166991199995,43.06049937800003,111 DRIVING PARK AVE,NOT AVAILABLE,NEWARK,NY,14513.0,4.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,120.0,NOT AVAILABLE
BURKE REHABILITATION CENTER,-73.83535508799997,40.84418356400004,2826 WESTCHESTER AVE,NOT AVAILABLE,BRONX,NY,10461.0,144.0,REHABILITATION,CLOSED,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",NOT AVAILABLE,NON-PROFIT,-999.0,-999.0,NOT AVAILABLE
ST. JOHN'S RIVERSIDE HOSPITAL - DOBBS FERRY,-73.86191964899997,41.01439224800004,128 ASHFORD AVE,NOT AVAILABLE,DOBBS FERRY,NY,10522.0,118.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,12.0,NOT AVAILABLE
NORTHERN WESTCHESTER HOSPITAL,-73.72570075199997,41.19705408200009,400 E MAIN ST,NOT AVAILABLE,MOUNT KISCO,NY,10549.0,43.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,145.0,NOT AVAILABLE
PHELPS MEMORIAL HOSPITAL CENTER,-73.86308776399994,41.10900705500005,701  NORTH BROADWAY,NOT AVAILABLE,SLEEPY HOLLOW,NY,10591.0,82.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,238.0,NOT AVAILABLE
TWIN LAKES REGIONAL MEDICAL CENTER,-86.28859308899996,37.47251530400007,910 WALLACE AVENUE,NOT AVAILABLE,LEITCHFIELD,KY,42754.0,1.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,75.0,NOT AVAILABLE
NEW YORK-PRESBYTERIAN/LAWRENCE HOSPITAL,-73.83656420299997,40.94209087100006,55 PALMER AVE,NOT AVAILABLE,BRONXVILLE,NY,10708.0,136.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,187.0,NOT AVAILABLE
JACKSON PURCHASE MEDICAL CENTER,-88.65125908,36.75920899200004,1099 MEDICAL CENTER CIRCLE,NOT AVAILABLE,MAYFIELD,KY,42066.0,5.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,PROPRIETARY,-999.0,107.0,NOT AVAILABLE
OUR LADY OF BELLEFONTE HOSPITAL,-82.69261650799997,38.50845431900007,1000 ST. CHRISTOPHER DRIVE,NOT AVAILABLE,ASHLAND,KY,41101.0,11.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,190.0,NOT AVAILABLE
BLYTHEDALE CHILDREN'S HOSPITAL,-73.79997223699995,41.07484754100005,95 BRADHURST AVE,NOT AVAILABLE,VALAHALLA,NY,10595.0,92.0,CHILDREN,OPEN,"CHILDREN'S HOSPITALS, GENERAL",NOT AVAILABLE,NON-PROFIT,-999.0,86.0,NOT AVAILABLE
PASSAVANT AREA HOSPITAL,-90.26048663599995,39.74608499300007,1600 W WALNUT ST,NOT AVAILABLE,JACKSONVILLE,IL,62650.0,0.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,108.0,NOT AVAILABLE
BROOK LANE HEALTH SERVICES,-77.61059940000001,39.67699529500004,13218 BROOK LANE DRIVE,NOT AVAILABLE,HAGERSTOWN,MD,21740.0,8.0,PSYCHIATRIC,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,65.0,NOT AVAILABLE
SOLDIERS AND SAILORS MEMORIAL HOSPITAL,-77.061199575,42.67140066600007,418 N MAIN ST,NOT AVAILABLE,PENN YAN,NY,14527.0,6.0,CRITICAL ACCESS,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,25.0,NOT AVAILABLE
BRONX-LEBANON HOSPITAL CENTER - FULTON DIVISION,-73.90405698399995,40.831714789000046,1276 FULTON AVE,NOT AVAILABLE,BRONX,NY,10456.0,144.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,164.0,NOT AVAILABLE
GARRARD COUNTY HOSPITAL,-84.58515725299998,37.62202606400006,308 WEST MAPLE AVENUE,NOT AVAILABLE,LANCASTER,KY,40444.0,6.0,GENERAL ACUTE CARE,CLOSED,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,PROPRIETARY,-999.0,15.0,NOT AVAILABLE
WESTCHESTER MEDICAL CENTER,-73.80495477499993,41.08609075200008,100 WOODS RD,NOT AVAILABLE,VALHALLA,NY,10532.0,87.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,GOVERNMENT - DISTRICT/AUTHORITY,-999.0,652.0,"I, I PEDIATRIC"
JACOBI MEDICAL CENTER,-73.84751214699997,40.856298357000064,1400 PELHAM PARKWAY SOUTH,NOT AVAILABLE,BRONX,NY,10036.0,144.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,GOVERNMENT - LOCAL,-999.0,457.0,REGIONAL
MONTEFIORE MEDICAL CENTER - MOSES DIVISION,-73.87982669899995,40.880079256000045,111 E 210TH ST,NOT AVAILABLE,BRONX,NY,10466.0,148.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,779.0,NOT AVAILABLE
FRANKFORT REGIONAL MEDICAL CENTER,-84.90689369799998,38.16066174500003,299 KINGS DAUGHTERS DRIVE,NOT AVAILABLE,FRANKFORT,KY,40601.0,11.0,LONG TERM CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,PROPRIETARY,-999.0,173.0,LEVEL III TRAUMA
CALVARY HOSPITAL,-73.84394162599993,40.84798988700003,1740 EASTCHESTER RD,NOT AVAILABLE,BRONX,NY,10461.0,146.0,LONG TERM CARE,OPEN,"HOSPITALS, SPECIALTY (EXCEPT PSYCHIATRIC, SUBSTANCE ABUSE)",NOT AVAILABLE,NON-PROFIT,-999.0,225.0,NOT AVAILABLE
NORTH CENTRAL BRONX HOSPITAL,-73.88105710599996,40.880365601000044,3424 KOSSUTH AVE,NOT AVAILABLE,BRONX,NY,10467.0,148.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,GOVERNMENT - LOCAL,-999.0,213.0,NOT AVAILABLE
DEER'S HEAD CENTER,-75.59571980199999,38.38229856300006,315 DEER'S HEAD HOSPITAL ROAD,NOT AVAILABLE,SALISBURY,MD,21802.0,4.0,CHRONIC DISEASE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,GOVERNMENT - STATE,-999.0,81.0,NOT AVAILABLE
MERITUS MEDICAL CENTER,-77.68256294699995,39.62219281100005,11116 MEDICAL CAMPUS ROAD,NOT AVAILABLE,HAGERSTOWN,MD,21742.0,8.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,247.0,LEVEL III
WESTERN MARYLAND CENTER,-77.71631192399997,39.66242733600006,1500 PENNSYLVANIA AVE,NOT AVAILABLE,HAGERSTOWN,MD,21742.0,8.0,LONG TERM CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,GOVERNMENT - STATE,-999.0,60.0,NOT AVAILABLE
WYOMING COUNTY COMMUNITY HOSPITAL,-78.13107250399997,42.754300035000014,400 N MAIN ST,NOT AVAILABLE,WARSAW,NY,14550.0,3.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,GOVERNMENT - LOCAL,-999.0,62.0,NOT AVAILABLE
BROOKDALE HOSPITAL MEDICAL CENTER,-73.91255653199994,40.655269102000034,1 BROOKDALE PLAZA,NOT AVAILABLE,BROOKLYN,NY,11212.0,141.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,530.0,REGIONAL
BROOKLYN HOSPITAL CENTER,-73.97788376499993,40.69057250800005,121 DEKALB AVE,NOT AVAILABLE,BROOKLYN,NY,11201.0,142.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,464.0,NOT AVAILABLE
MONTEFIORE WESTCHESTER SQUARE MEDICAL CENTER,-73.84851753099997,40.840743111000045,2475 RAYMOND AVENUE,NOT AVAILABLE,BRONX,NY,10461.0,146.0,GENERAL ACUTE CARE,CLOSED,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,-999.0,NOT AVAILABLE
KINGS COUNTY HOSPITAL CENTER,-73.94469078999998,40.65661638100005,451 CLARKSON AVE,NOT AVAILABLE,BROOKLYN,NY,11203.0,141.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,GOVERNMENT - LOCAL,-999.0,639.0,REGIONAL
CONEY ISLAND HOSPITAL,-73.96533243399993,40.58541438100007,2601 OCEAN PARKWAY,NOT AVAILABLE,BROOKLYN,NY,11235.0,134.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,GOVERNMENT - LOCAL,-999.0,371.0,NOT AVAILABLE
LONG ISLAND COLLEGE HOSPITAL,-73.99787755899995,40.69059526800003,339 HICKS ST,NOT AVAILABLE,BROOKLYN,NY,11201.0,142.0,GENERAL ACUTE CARE,CLOSED,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,GOVERNMENT - STATE,-999.0,506.0,NOT AVAILABLE
MAIMONIDES MEDICAL CENTER,-73.99845263499998,40.63947887500005,4802 10TH AVE,NOT AVAILABLE,BROOKLYN,NY,11219.0,142.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,679.0,NOT AVAILABLE
HARRISON MEMORIAL HOSPITAL,-84.27768645499998,38.383968729000046,1210 KENTUCKY HIGHWAY 36 EAST,NOT AVAILABLE,CYNTHIANA,KY,41031.0,4.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,61.0,NOT AVAILABLE
NYU LUTHERAN MEDICAL CENTER,-74.02091469199995,40.646563994000076,150 55TH ST,NOT AVAILABLE,BROOKLYN,NY,11209.0,145.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,396.0,I
NEW YORK METHODIST HOSPITAL,-73.97899052099996,40.66776170100008,506 6TH ST,NOT AVAILABLE,BROOKLYN,NY,11215.0,141.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,591.0,PROVISIONAL LEVEL II
INTERFAITH MEDICAL CENTER,-73.93736833499997,40.67823304400008,1545 ATLANTIC AVE,NOT AVAILABLE,BROOKLYN,NY,11213.0,145.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,287.0,NOT AVAILABLE
WYCKOFF HEIGHTS MEDICAL CENTER,-73.91776369699994,40.70396404100006,374 STOCKHOLM ST,NOT AVAILABLE,BROOKLYN,NY,11237.0,146.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,324.0,NOT AVAILABLE
NYU HOSPITAL FOR JOINT DISEASES,-73.98299996199995,40.73443168700003,301 E 17TH ST,NOT AVAILABLE,NEW YORK,NY,10003.0,144.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,225.0,NOT AVAILABLE
HOSPITAL FOR SPECIAL SURGERY,-73.95231485199997,40.76492338400004,535 EAST 70TH ST,NOT AVAILABLE,NEW YORK,NY,10021.0,149.0,SPECIAL,OPEN,"HOSPITALS, SPECIALTY (EXCEPT PSYCHIATRIC, SUBSTANCE ABUSE)",NOT AVAILABLE,NON-PROFIT,-999.0,215.0,NOT AVAILABLE
LENOX HILL HOSPITAL,-73.96089077199997,40.77370268100003,100 E 77TH ST,NOT AVAILABLE,NEW YORK,NY,10021.0,148.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,632.0,NOT AVAILABLE
METROPOLITAN HOSPITAL CENTER,-73.94453022899995,40.78492694000005,1901 1ST AVE,NOT AVAILABLE,NEW YORK,NY,10029.0,149.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,GOVERNMENT - LOCAL,-999.0,338.0,NOT AVAILABLE
NEW YORK EYE AND EAR INFIRMARY,-73.98448330999997,40.73185306300008,310 E 14TH ST,NOT AVAILABLE,NEW YORK,NY,10003.0,144.0,SPECIAL,OPEN,"EYE, EAR, NOSE, AND THROAT HOSPITALS",NOT AVAILABLE,NON-PROFIT,-999.0,69.0,NOT AVAILABLE
NEW YORK PRESBYTERIAN MORGAN STANLEY CHILDREN'S HOSPITAL,-73.941282577,40.83976325900005,3959 BROADWAY,NOT AVAILABLE,NEW YORK,NY,10032.0,148.0,CHILDREN,OPEN,"CHILDREN'S HOSPITALS, GENERAL",NOT AVAILABLE,NON-PROFIT,-999.0,190.0,REGIONAL PEDIATRIC
MOUNT SINAI HOSPITAL,-73.95321427399993,40.789767531000045,1 GUSTAVE L LEVY PL,NOT AVAILABLE,NEW YORK,NY,10001.0,148.0,GENERAL ACUTE CARE,OPEN,GENERAL MEDICAL AND SURGICAL HOSPITALS,NOT AVAILABLE,NON-PROFIT,-999.0,1144.0,NOT AVAILABLE
THE ADDICTION INSTITUTE OF NEW YORK,-73.98680839499998,40.769412130000035,1000 10TH AVE,NOT AVAILABLE,NEW YORK,NY,10019.0,150.0,PSYCHIATRIC,CLOSED,"HOSPITALS, PSYCHIATRIC (EXCEPT CONVALESCENT)",NOT AVAILABLE,NON-PROFIT,-999.0,-999.0,NOT AVAILABLE
GRACIE SQUARE HOSPITAL,-73.95302134799994,40.76971650000007,420 E 76TH ST,"2ND, 3RD, 4TH & 5TH FLOORS",NEW YORK,NY,10021.0,149.0,PSYCHIATRIC,OPEN,"HOSPITALS, PSYCHIATRIC (EXCEPT CONVALESCENT)",NOT AVAILABLE,NON-PROFIT,-999.0,157.0,NOT AVAILABLE
COLER-GOLDWATER SPECIALTY HOSPITAL & NURSING FACILITY - COLER HOSPITAL SITE,-73.94214387699995,40.77030214300004,900 MAIN STREET ROOSEVELT ISLAND,NOT AVAILABLE,NEW YORK,NY,10044.0,150.0,LONG TERM CARE,OPEN,"EXTENDED CARE HOSPITALS (EXCEPT MENTAL, SUBSTANCE ABUSE)",NOT AVAILABLE,GOVERNMENT - LOCAL,-999.0,210.0,NOT AVAILABLE
RICHMOND UNIVERSITY MEDICAL CENTER - BAYLEY SETON CAMPUS,-74.07535459499995,40.62242782200008,75 VANDERBILT AVE,NOT AVAILABLE,STATEN ISLAND,NY,10304.0,145.0,PSYCHIATRIC,OPEN,"HOSPITALS, PSYCHIATRIC (EXCEPT CONVALESCENT)",NOT AVAILABLE,NON-PROFIT,-999.0,25.0,NOT AVAILABLE
