NAME,ADDRESS,CITY,STATE,ZIP,TYPE,STATUS,COUNTRY,LATITUDE,LONGITUDE,,,,,,,,,,,,,,,,,,
BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,101 HOSPITAL RD,PATCHOGUE,NY,11772,GENERAL ACUTE CARE,OPEN,USA,40.78005719,-72.97714065,,,,,,,,,,,,,,,,,,
SOUTHAMPTON HOSPITAL,240 MEETING HOUSE LANE,SOUTHAMPTON,NY,11968,GENERAL ACUTE CARE,OPEN,USA,40.88505974,-72.37994406,,,,,,,,,,,,,,,,,,
EASTERN LONG ISLAND HOSPITAL,201 MANOR PL,GREENPORT,NY,11901,GENERAL ACUTE CARE,OPEN,USA,41.11036057,-72.36112732,,,,,,,,,,,,,,,,,,
HUNTINGTON HOSPITAL,270 PARK AVE,HUNTINGTON,NY,11743,GENERAL ACUTE CARE,OPEN,USA,40.87932924,-73.41619953,,,,,,,,,,,,,,,,,,
SOUTHSIDE HOSPITAL,301 E MAIN ST,BAY SHORE,NY,11706,GENERAL ACUTE CARE,OPEN,USA,40.72596015,-73.24115864,,,,,,,,,,,,,,,,,,
PECONIC BAY MEDICAL CENTER,1300 ROANOKE AVE,RIVERHEAD,NY,11901,GENERAL ACUTE CARE,OPEN,USA,40.93426399,-72.67362495,,,,,,,,,,,,,,,,,,
ST CHARLES HOSPITAL AND REHABILITATION CENTER,200 BELLE TERRE RD,PORT JEFFERSON,NY,11507,GENERAL ACUTE CARE,OPEN,USA,40.94663123,-73.06096322,,,,,,,,,,,,,,,,,,
CARDINAL HILL REHABILITATION HOSPITAL,2050 VERSAILLES ROAD,LEXINGTON,KY,40504,REHABILITATION,OPEN,USA,38.04697243,-84.54138894,,,,,,,,,,,,,,,,,,
FLEMING COUNTY HOSPITAL,55 FOUNDATION DRIVE,FLEMINGSBURG,KY,41041,GENERAL ACUTE CARE,OPEN,USA,38.42215105,-83.75154531,,,,,,,,,,,,,,,,,,
BAPTIST HEALTH LEXINGTON,1740 NICHOLASVILLE ROAD,LEXINGTON,KY,40503,GENERAL ACUTE CARE,OPEN,USA,38.01880519,-84.51185771,,,,,,,,,,,,,,,,,,
EASTERN STATE HOSPITAL,627 WEST FOURTH STREET,LEXINGTON,KY,40508,PSYCHIATRIC,OPEN,USA,38.06030326,-84.49856874,,,,,,,,,,,,,,,,,,
ST. CATHERINE OF SIENA MEDICAL CENTER,50 ROUTE,SMITHTOWN,NY,11787,GENERAL ACUTE CARE,OPEN,USA,40.86850019,-73.22299673,,,,,,,,,,,,,,,,,,
SAINT JOSEPH EAST,150 N EAGLE CREEK DRIVE,LEXINGTON,KY,40509,GENERAL ACUTE CARE,OPEN,USA,37.9994201,-84.439155,,,,,,,,,,,,,,,,,,
SAINT JOSEPH HOSPITAL,ONE ST JOSEPH DRIVE,LEXINGTON,KY,40504,GENERAL ACUTE CARE,OPEN,USA,38.03233973,-84.52329929,,,,,,,,,,,,,,,,,,
SHRINERS HOSPITAL FOR CHILDREN,1900 RICHMOND RD,LEXINGTON,KY,40502,CHILDREN,OPEN,USA,38.02270661,-84.47269852,,,,,,,,,,,,,,,,,,
CAYUGA MEDICAL CENTER,101 DATES DR,ITHACA,NY,14850,GENERAL ACUTE CARE,OPEN,USA,42.46898507,-76.53748416,,,,,,,,,,,,,,,,,,
GOOD SAMARITAN HOSPITAL - WEST ISLIP,1000 MONTAUK HIGHWAY,WEST ISLIP,NY,10901,GENERAL ACUTE CARE,OPEN,USA,40.69388013,-73.29439462,,,,,,,,,,,,,,,,,,
GROVER M. HERMAN HOSPITAL,8081 ROUTE 97,CALLICOON,NY,12723,CRITICAL ACCESS,OPEN,USA,41.74029193,-75.04741551,,,,,,,,,,,,,,,,,,
HEALTHALLIANCE HOSPITAL - MARY'S AVENUE CAMPSU,105 MARY'S AVENUE,KINGSTON,NY,12401,GENERAL ACUTE CARE,OPEN,USA,41.92149416,-73.99968712,,,,,,,,,,,,,,,,,,
HEALTHALLIANCE HOSPITAL - BROADWAY CAMPUS,396 BROADWAY,KINGSTON,NY,12401,GENERAL ACUTE CARE,OPEN,USA,41.92665841,-73.99484207,,,,,,,,,,,,,,,,,,
ELLENVILLE REGIONAL HOSPITAL,10 HEALTHY WAY,ELLENVILLE,NY,12428,CRITICAL ACCESS,OPEN,USA,41.73262979,-74.37903498,,,,,,,,,,,,,,,,,,
GLENS FALLS HOSPITAL,100 PARK ST,GLENS FALLS,NY,12801,GENERAL ACUTE CARE,OPEN,USA,43.30662939,-73.64631274,,,,,,,,,,,,,,,,,,
WHITE PLAINS HOSPITAL CENTER,41 E POST RD,WHITE PLAINS,NY,10601,GENERAL ACUTE CARE,OPEN,USA,41.02559431,-73.7693051,,,,,,,,,,,,,,,,,,
NEWARK-WAYNE COMMUNITY HOSPITAL,111 DRIVING PARK AVE,NEWARK,NY,14513,GENERAL ACUTE CARE,OPEN,USA,43.06049938,-77.10166991,,,,,,,,,,,,,,,,,,
BURKE REHABILITATION CENTER,2826 WESTCHESTER AVE,BRONX,NY,10461,REHABILITATION,CLOSED,USA,40.84418356,-73.83535509,,,,,,,,,,,,,,,,,,
ST. JOHN'S RIVERSIDE HOSPITAL - DOBBS FERRY,128 ASHFORD AVE,DOBBS FERRY,NY,10522,GENERAL ACUTE CARE,OPEN,USA,41.01439225,-73.86191965,,,,,,,,,,,,,,,,,,
NORTHERN WESTCHESTER HOSPITAL,400 E MAIN ST,MOUNT KISCO,NY,10549,GENERAL ACUTE CARE,OPEN,USA,41.19705408,-73.72570075,,,,,,,,,,,,,,,,,,
PHELPS MEMORIAL HOSPITAL CENTER,701  NORTH BROADWAY,SLEEPY HOLLOW,NY,10591,GENERAL ACUTE CARE,OPEN,USA,41.10900706,-73.86308776,,,,,,,,,,,,,,,,,,
TWIN LAKES REGIONAL MEDICAL CENTER,910 WALLACE AVENUE,LEITCHFIELD,KY,42754,GENERAL ACUTE CARE,OPEN,USA,37.4725153,-86.28859309,,,,,,,,,,,,,,,,,,
NEW YORK-PRESBYTERIAN/LAWRENCE HOSPITAL,55 PALMER AVE,BRONXVILLE,NY,10708,GENERAL ACUTE CARE,OPEN,USA,40.94209087,-73.8365642,,,,,,,,,,,,,,,,,,
JACKSON PURCHASE MEDICAL CENTER,1099 MEDICAL CENTER CIRCLE,MAYFIELD,KY,42066,GENERAL ACUTE CARE,OPEN,USA,36.75920899,-88.65125908,,,,,,,,,,,,,,,,,,
OUR LADY OF BELLEFONTE HOSPITAL,1000 ST. CHRISTOPHER DRIVE,ASHLAND,KY,41101,GENERAL ACUTE CARE,OPEN,USA,38.50845432,-82.69261651,,,,,,,,,,,,,,,,,,
BLYTHEDALE CHILDREN'S HOSPITAL,95 BRADHURST AVE,VALAHALLA,NY,10595,CHILDREN,OPEN,USA,41.07484754,-73.79997224,,,,,,,,,,,,,,,,,,
PASSAVANT AREA HOSPITAL,1600 W WALNUT ST,JACKSONVILLE,IL,62650,GENERAL ACUTE CARE,OPEN,USA,39.74608499,-90.26048664,,,,,,,,,,,,,,,,,,
BROOK LANE HEALTH SERVICES,13218 BROOK LANE DRIVE,HAGERSTOWN,MD,21740,PSYCHIATRIC,OPEN,USA,39.6769953,-77.6105994,,,,,,,,,,,,,,,,,,
SOLDIERS AND SAILORS MEMORIAL HOSPITAL,418 N MAIN ST,PENN YAN,NY,14527,CRITICAL ACCESS,OPEN,USA,42.67140067,-77.06119958,,,,,,,,,,,,,,,,,,
BRONX-LEBANON HOSPITAL CENTER - FULTON DIVISION,1276 FULTON AVE,BRONX,NY,10456,GENERAL ACUTE CARE,OPEN,USA,40.83171479,-73.90405698,,,,,,,,,,,,,,,,,,
GARRARD COUNTY HOSPITAL,308 WEST MAPLE AVENUE,LANCASTER,KY,40444,GENERAL ACUTE CARE,CLOSED,USA,37.62202606,-84.58515725,,,,,,,,,,,,,,,,,,
WESTCHESTER MEDICAL CENTER,100 WOODS RD,VALHALLA,NY,10532,GENERAL ACUTE CARE,OPEN,USA,41.08609075,-73.80495477,,,,,,,,,,,,,,,,,,
JACOBI MEDICAL CENTER,1400 PELHAM PARKWAY SOUTH,BRONX,NY,10036,GENERAL ACUTE CARE,OPEN,USA,40.85629836,-73.84751215,,,,,,,,,,,,,,,,,,
MONTEFIORE MEDICAL CENTER - MOSES DIVISION,111 E 210TH ST,BRONX,NY,10466,GENERAL ACUTE CARE,OPEN,USA,40.88007926,-73.8798267,,,,,,,,,,,,,,,,,,
FRANKFORT REGIONAL MEDICAL CENTER,299 KINGS DAUGHTERS DRIVE,FRANKFORT,KY,40601,LONG TERM CARE,OPEN,USA,38.16066175,-84.9068937,,,,,,,,,,,,,,,,,,
CALVARY HOSPITAL,1740 EASTCHESTER RD,BRONX,NY,10461,LONG TERM CARE,OPEN,USA,40.84798989,-73.84394163,,,,,,,,,,,,,,,,,,
NORTH CENTRAL BRONX HOSPITAL,3424 KOSSUTH AVE,BRONX,NY,10467,GENERAL ACUTE CARE,OPEN,USA,40.8803656,-73.88105711,,,,,,,,,,,,,,,,,,
DEER'S HEAD CENTER,315 DEER'S HEAD HOSPITAL ROAD,SALISBURY,MD,21802,CHRONIC DISEASE,OPEN,USA,38.38229856,-75.5957198,,,,,,,,,,,,,,,,,,
MERITUS MEDICAL CENTER,11116 MEDICAL CAMPUS ROAD,HAGERSTOWN,MD,21742,GENERAL ACUTE CARE,OPEN,USA,39.62219281,-77.68256295,,,,,,,,,,,,,,,,,,
WESTERN MARYLAND CENTER,1500 PENNSYLVANIA AVE,HAGERSTOWN,MD,21742,LONG TERM CARE,OPEN,USA,39.66242734,-77.71631192,,,,,,,,,,,,,,,,,,
WYOMING COUNTY COMMUNITY HOSPITAL,400 N MAIN ST,WARSAW,NY,14550,GENERAL ACUTE CARE,OPEN,USA,42.75430004,-78.1310725,,,,,,,,,,,,,,,,,,
BROOKDALE HOSPITAL MEDICAL CENTER,1 BROOKDALE PLAZA,BROOKLYN,NY,11212,GENERAL ACUTE CARE,OPEN,USA,40.6552691,-73.91255653,,,,,,,,,,,,,,,,,,
BROOKLYN HOSPITAL CENTER,121 DEKALB AVE,BROOKLYN,NY,11201,GENERAL ACUTE CARE,OPEN,USA,40.69057251,-73.97788376,,,,,,,,,,,,,,,,,,
MONTEFIORE WESTCHESTER SQUARE MEDICAL CENTER,2475 RAYMOND AVENUE,BRONX,NY,10461,GENERAL ACUTE CARE,CLOSED,USA,40.84074311,-73.84851753,,,,,,,,,,,,,,,,,,
KINGS COUNTY HOSPITAL CENTER,451 CLARKSON AVE,BROOKLYN,NY,11203,GENERAL ACUTE CARE,OPEN,USA,40.65661638,-73.94469079,,,,,,,,,,,,,,,,,,
CONEY ISLAND HOSPITAL,2601 OCEAN PARKWAY,BROOKLYN,NY,11235,GENERAL ACUTE CARE,OPEN,USA,40.58541438,-73.96533243,,,,,,,,,,,,,,,,,,
LONG ISLAND COLLEGE HOSPITAL,339 HICKS ST,BROOKLYN,NY,11201,GENERAL ACUTE CARE,CLOSED,USA,40.69059527,-73.99787756,,,,,,,,,,,,,,,,,,
MAIMONIDES MEDICAL CENTER,4802 10TH AVE,BROOKLYN,NY,11219,GENERAL ACUTE CARE,OPEN,USA,40.63947888,-73.99845264,,,,,,,,,,,,,,,,,,
HARRISON MEMORIAL HOSPITAL,1210 KENTUCKY HIGHWAY 36 EAST,CYNTHIANA,KY,41031,GENERAL ACUTE CARE,OPEN,USA,38.38396873,-84.27768646,,,,,,,,,,,,,,,,,,
NYU LUTHERAN MEDICAL CENTER,150 55TH ST,BROOKLYN,NY,11209,GENERAL ACUTE CARE,OPEN,USA,40.64656399,-74.02091469,,,,,,,,,,,,,,,,,,
NEW YORK METHODIST HOSPITAL,506 6TH ST,BROOKLYN,NY,11215,GENERAL ACUTE CARE,OPEN,USA,40.6677617,-73.97899052,,,,,,,,,,,,,,,,,,
INTERFAITH MEDICAL CENTER,1545 ATLANTIC AVE,BROOKLYN,NY,11213,GENERAL ACUTE CARE,OPEN,USA,40.67823304,-73.93736834,,,,,,,,,,,,,,,,,,
WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM ST,BROOKLYN,NY,11237,GENERAL ACUTE CARE,OPEN,USA,40.70396404,-73.9177637,,,,,,,,,,,,,,,,,,
NYU HOSPITAL FOR JOINT DISEASES,301 E 17TH ST,NEW YORK,NY,10003,GENERAL ACUTE CARE,OPEN,USA,40.73443169,-73.98299996,,,,,,,,,,,,,,,,,,
HOSPITAL FOR SPECIAL SURGERY,535 EAST 70TH ST,NEW YORK,NY,10021,SPECIAL,OPEN,USA,40.76492338,-73.95231485,,,,,,,,,,,,,,,,,,
LENOX HILL HOSPITAL,100 E 77TH ST,NEW YORK,NY,10021,GENERAL ACUTE CARE,OPEN,USA,40.77370268,-73.96089077,,,,,,,,,,,,,,,,,,
METROPOLITAN HOSPITAL CENTER,1901 1ST AVE,NEW YORK,NY,10029,GENERAL ACUTE CARE,OPEN,USA,40.78492694,-73.94453023,,,,,,,,,,,,,,,,,,
NEW YORK EYE AND EAR INFIRMARY,310 E 14TH ST,NEW YORK,NY,10003,SPECIAL,OPEN,USA,40.73185306,-73.98448331,,,,,,,,,,,,,,,,,,
NEW YORK PRESBYTERIAN MORGAN STANLEY CHILDREN'S HOSPITAL,3959 BROADWAY,NEW YORK,NY,10032,CHILDREN,OPEN,USA,40.83976326,-73.94128258,,,,,,,,,,,,,,,,,,
MOUNT SINAI HOSPITAL,1 GUSTAVE L LEVY PL,NEW YORK,NY,10001,GENERAL ACUTE CARE,OPEN,USA,40.78976753,-73.95321427,,,,,,,,,,,,,,,,,,
THE ADDICTION INSTITUTE OF NEW YORK,1000 10TH AVE,NEW YORK,NY,10019,PSYCHIATRIC,CLOSED,USA,40.76941213,-73.9868084,,,,,,,,,,,,,,,,,,
GRACIE SQUARE HOSPITAL,420 E 76TH ST,NEW YORK,NY,10021,PSYCHIATRIC,OPEN,USA,40.7697165,-73.95302135,,,,,,,,,,,,,,,,,,
COLER-GOLDWATER SPECIALTY HOSPITAL & NURSING FACILITY - COLER HOSPITAL SITE,900 MAIN STREET ROOSEVELT ISLAND,NEW YORK,NY,10044,LONG TERM CARE,OPEN,USA,40.77030214,-73.94214388,,,,,,,,,,,,,,,,,,
RICHMOND UNIVERSITY MEDICAL CENTER - BAYLEY SETON CAMPUS,75 VANDERBILT AVE,STATEN ISLAND,NY,10304,PSYCHIATRIC,OPEN,USA,40.62242782,-74.0753546,,,,,,,,,,,,,,,,,,
GOLDWATER SPECIALTY HOSPITAL,1 MAIN STREET ROOSEVELT ISLAND,NEW YORK,NY,10044,GENERAL ACUTE CARE,CLOSED,USA,40.75483575,-73.95628185,,,,,,,,,,,,,,,,,,
FLUSHING HOSPITAL MEDICAL CENTER,45 TH AVE & PARSONS BLVD,FLUSHING,NY,11355,GENERAL ACUTE CARE,OPEN,USA,40.75540992,-73.81646552,,,,,,,,,,,,,,,,,,
QUEENS HOSPITAL CENTER,82-68 164TH ST,JAMAICA,NY,11432,GENERAL ACUTE CARE,OPEN,USA,40.71707221,-73.80455619,,,,,,,,,,,,,,,,,,
ELMHURST HOSPITAL CENTER,79-01 BRDWAY,ELMHURST,NY,11373,GENERAL ACUTE CARE,OPEN,USA,40.74482736,-73.88607967,,,,,,,,,,,,,,,,,,
JAMAICA HOSPITAL MEDICAL CENTER,8900 VAN WYCK EXPRESSWAY,JAMAICA,NY,11414,GENERAL ACUTE CARE,OPEN,USA,40.70010365,-73.81611489,,,,,,,,,,,,,,,,,,
ST. JOHN'S EPISCOPAL HOSPITAL-SOUTH SHORE,327 BEACH 19TH ST,FAR ROCKAWAY,NY,11691,GENERAL ACUTE CARE,OPEN,USA,40.59870798,-73.75355062,,,,,,,,,,,,,,,,,,
MEMORIAL HOSPITAL OF CARBONDALE,405 W JACKSON,CARBONDALE,IL,62901,GENERAL ACUTE CARE,OPEN,USA,37.72744555,-89.22059253,,,,,,,,,,,,,,,,,,
IROQUOIS MEMORIAL HOSPITAL,200 FAIRMAN STREET,WATSEKA,IL,60970,GENERAL ACUTE CARE,OPEN,USA,40.76560189,-87.73251748,,,,,,,,,,,,,,,,,,
HOOPESTON COMMUNITY MEMORIAL HOSPITAL,701 EAST ORANGE STREET,HOOPESTON,IL,60942,CRITICAL ACCESS,OPEN,USA,40.45868989,-87.65973327,,,,,,,,,,,,,,,,,,
TRIGG COUNTY HOSPITAL INC.,254 MAIN STREET,CADIZ,KY,42211,GENERAL ACUTE CARE,OPEN,USA,36.86634023,-87.82153878,,,,,,,,,,,,,,,,,,
METHODIST HOSPITAL UNION COUNTY,4604 U.S. HWY. 60W,MORGANFIELD,KY,42437,GENERAL ACUTE CARE,OPEN,USA,37.62879646,-87.94765598,,,,,,,,,,,,,,,,,,
PRESENCE UNITED SAMARITANS MEDCTR-LOGAN,812 N LOGAN,DANVILLE,IL,61832,GENERAL ACUTE CARE,OPEN,USA,40.13783245,-87.64543324,,,,,,,,,,,,,,,,,,
VETERANS AFFAIRS ILLIANA HEALTH CARE SYSTEM,1900 E. MAIN,DANVILLE,IL,61832,MILITARY,OPEN,USA,40.12327171,-87.58695313,,,,,,,,,,,,,,,,,,
GREENVIEW REGIONAL HOSPITAL,1801 ASHLEY CIRCLE,BOWLING GREEN,KY,42102,GENERAL ACUTE CARE,OPEN,USA,36.96503762,-86.43597977,,,,,,,,,,,,,,,,,,
RIVENDELL BEHAVIORAL HEALTH SERVICES,1035 PORTER PIKE RD,BOWLING GREEN,KY,42103,PSYCHIATRIC,OPEN,USA,36.99707201,-86.38313695,,,,,,,,,,,,,,,,,,
SOUTHERN KENTUCKY REHABILITATION HOSPITAL,1300 CAMPBELL LANE,BOWLING GREEN,KY,42104,REHABILITATION,OPEN,USA,36.95703881,-86.44648889,,,,,,,,,,,,,,,,,,
THE MEDICAL CENTER AT BOWLING GREEN,250 PARK STREET,BOWLING GREEN,KY,42101,GENERAL ACUTE CARE,OPEN,USA,36.99597151,-86.42975938,,,,,,,,,,,,,,,,,,
FOREST HILLS HOSPITAL,102-01 66 ROAD,FOREST HILLS,NY,11375,GENERAL ACUTE CARE,OPEN,USA,40.72899467,-73.85150671,,,,,,,,,,,,,,,,,,
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,760 BROADWAY,BROOKLYN,NY,11206,GENERAL ACUTE CARE,OPEN,USA,40.69952267,-73.94237898,,,,,,,,,,,,,,,,,,
NEW YORK HOSPITAL QUEENS,56 45 MAIN ST,FLUSHING,NY,11355,GENERAL ACUTE CARE,OPEN,USA,40.74677228,-73.82541638,,,,,,,,,,,,,,,,,,
RICHMOND UNIVERSITY MEDICAL CENTER - MAIN CAMPUS,355 BARD AVE,STATEN ISLAND,NY,10301,GENERAL ACUTE CARE,OPEN,USA,40.63590241,-74.1059378,,,,,,,,,,,,,,,,,,
STATEN ISLAND UNIVERSITY HOSPITAL - NORTH,475 SEAVIEW AVENUE,STATEN ISLAND,NY,10305,GENERAL ACUTE CARE,OPEN,USA,40.58498461,-74.08621989,,,,,,,,,,,,,,,,,,
MILLARD FILLMORE SUBURBAN HOSPITAL,1540 MAPLE RD,WILLIAMSVILLE,NY,14209,GENERAL ACUTE CARE,OPEN,USA,42.99403948,-78.73023829,,,,,,,,,,,,,,,,,,
ALBANY MEMORIAL HOSPITAL,600 NORTHERN BLVD,ALBANY,NY,12204,GENERAL ACUTE CARE,OPEN,USA,42.67418337,-73.748675,,,,,,,,,,,,,,,,,,
BELLEVUE HOSPITAL CENTER,462 FIRST AVENUE,NEW YORK,NY,10016,GENERAL ACUTE CARE,OPEN,USA,40.7393201,-73.97538175,,,,,,,,,,,,,,,,,,
WEST BRANCH REGIONAL MEDICAL CENTER,2463 SOUTH M-30,WEST BRANCH,MI,48661,GENERAL ACUTE CARE,OPEN,USA,44.26380231,-84.24430076,,,,,,,,,,,,,,,,,,
BRONX-LEBANON HOSPITAL CENTER - CONCOURSE DIVISION,1650 GRAND CONCOURSE,BRONX,NY,10457,GENERAL ACUTE CARE,OPEN,USA,40.84349255,-73.91114695,,,,,,,,,,,,,,,,,,
ELLIS HOSPITAL,1101 NOTT STREET,SCHENECTADY,NY,12308,GENERAL ACUTE CARE,OPEN,USA,42.81985762,-73.91731809,,,,,,,,,,,,,,,,,,
GLEN COVE HOSPITAL,101 ST ANDREWS LANE,GLEN COVE,NY,11542,GENERAL ACUTE CARE,OPEN,USA,40.8710014,-73.62238567,,,,,,,,,,,,,,,,,,
KINGSBROOK JEWISH MEDICAL CENTER,585 SCHENECTADY AVENUE,BROOKLYN,NY,11203,GENERAL ACUTE CARE,OPEN,USA,40.65944045,-73.93354531,,,,,,,,,,,,,,,,,,
LENOX HILL HEALTHPLEX,30 SEVENTH AVENUE,NEW YORK,NY,10011,GENERAL ACUTE CARE,CLOSED,USA,40.73773991,-74.00074457,,,,,,,,,,,,,,,,,,
LONG ISLAND JEWISH MEDICAL CENTER,270-05 76TH AVE,NEW HYDE PARK,NY,11040,GENERAL ACUTE CARE,OPEN,USA,40.75434328,-73.70810636,,,,,,,,,,,,,,,,,,
MERCY HOSPITAL - MERCY HOSPITAL ORCHARD PARK DIVISION,3669 SOUTHWESTERN BLVD,ORCHARD PARK,NY,14127,GENERAL ACUTE CARE,OPEN,USA,42.78054509,-78.77257279,,,,,,,,,,,,,,,,,,
EPHRAIM MCDOWELL FORT LOGAN HOSPITAL,110 METKER TRAIL,STANFORD,KY,40484,CRITICAL ACCESS,OPEN,USA,37.54279432,-84.65303656,,,,,,,,,,,,,,,,,,
WHITESBURG ARH HOSPITAL,240 HOSPITAL ROAD,WHITESBURG,KY,41858,GENERAL ACUTE CARE,OPEN,USA,37.11292722,-82.81252179,,,,,,,,,,,,,,,,,,
"MOHAWK VALLEY HEART INSTITUTE, INC",2209 GENESEE STREET,UTICA,NY,13501,SPECIAL,OPEN,USA,43.08149046,-75.26660171,,,,,,,,,,,,,,,,,,
MONTEFIORE MOUNT VERNON HOSPITAL,12 NORTH 7TH AVENUE,MOUNT VERNON,NY,10550,GENERAL ACUTE CARE,OPEN,USA,40.91289836,-73.840562,,,,,,,,,,,,,,,,,,
MARY BRECKINRIDGE ARH HOSPITAL,130 KATE IRELAND DRIVE,HYDEN,KY,41749,CRITICAL ACCESS,OPEN,USA,37.16410598,-83.37858386,,,,,,,,,,,,,,,,,,
LIVINGSTON HOSPITAL AND HEALTHCARE SERVICES,131 HOSPITAL DRIVE,SALEM,KY,42078,CRITICAL ACCESS,OPEN,USA,37.26305319,-88.22850246,,,,,,,,,,,,,,,,,,
MONTEFIORE NEW ROCHELLE HOSPITAL,16 GUION PLACE,NEW ROCHELLE,NY,10802,GENERAL ACUTE CARE,OPEN,USA,40.91280606,-73.7877626,,,,,,,,,,,,,,,,,,
MOUNT SINAI BETH ISRAEL BROOKLYN,3201 KINGS HIGHWAY,BROOKLYN,NY,11234,GENERAL ACUTE CARE,OPEN,USA,40.6188201,-73.94290124,,,,,,,,,,,,,,,,,,
MOUNT SINAI HOSPITAL - MOUNT SINAI HOSPITAL OF QUEENS,25-10 30TH AVENUE,LONG ISLAND CITY,NY,11102,GENERAL ACUTE CARE,OPEN,USA,40.76829506,-73.92488434,,,,,,,,,,,,,,,,,,
NEW YORK PRESBYTERIAN HOSPITAL - ALLEN HOSPITAL,5141 BROADWAY,NEW YORK,NY,10034,GENERAL ACUTE CARE,OPEN,USA,40.87327524,-73.91305033,,,,,,,,,,,,,,,,,,
NEW YORK PRESBYTERIAN HOSPITAL - WESTCHESTER DIVISION,21 BLOOMINGDALE ROAD,WHITE PLAINS,NY,10605,PSYCHIATRIC,OPEN,USA,41.02757951,-73.75390988,,,,,,,,,,,,,,,,,,
NEWYORK-PRESBYTERIAN/HUDSON VALLEY HOSPITAL,1980 CROMPOND ROAD,CORTLANDT MANOR,NY,10567,GENERAL ACUTE CARE,OPEN,USA,41.29246466,-73.89260099,,,,,,,,,,,,,,,,,,
NICHOLAS H NOYES MEMORIAL HOSPITAL,111 CLARA BARTON STREET,DANSVILLE,NY,14437,GENERAL ACUTE CARE,OPEN,USA,42.55302525,-77.69777078,,,,,,,,,,,,,,,,,,
NORTHERN DUTCHESS HOSPITAL,6511 SPRINGBROOK AVENUE,RHINEBECK,NY,12572,GENERAL ACUTE CARE,OPEN,USA,41.93547004,-73.91319583,,,,,,,,,,,,,,,,,,
CROUSE HOSPITAL - COMMONWEALTH DIVISION,6010 EAST MALLOY ROAD,SYRACUSE,NY,13211,SPECIAL,OPEN,USA,43.09843904,-76.10738979,,,,,,,,,,,,,,,,,,
ONEIDA HEALTHCARE,321 GENESEE STREET,ONEIDA,NY,13421,GENERAL ACUTE CARE,OPEN,USA,43.07770601,-75.65449007,,,,,,,,,,,,,,,,,,
OSWEGO HOSPITAL - ALVIN L KRAKAU COMM MTL HEALTH CENTER DIV,74 BUNNER STREET,OSWEGO,NY,13126,PSYCHIATRIC,OPEN,USA,43.448562,-76.48991686,,,,,,,,,,,,,,,,,,
ROCKEFELLER UNIVERSITY HOSPITAL,1230 YORK AVENUE,NEW YORK,NY,10021,GENERAL ACUTE CARE,OPEN,USA,40.76304744,-73.95462317,,,,,,,,,,,,,,,,,,
HARLEM HOSPITAL CENTER,506 LENOX AVENUE,NEW YORK,NY,10037,GENERAL ACUTE CARE,OPEN,USA,40.81426493,-73.93986126,,,,,,,,,,,,,,,,,,
HENRY J. CARTER SPECIALTY HOSPITAL,1752 PARK AVENUE,NEW YORK,NY,10035,LONG TERM CARE,OPEN,USA,40.80328511,-73.94162385,,,,,,,,,,,,,,,,,,
